posterior_mean
m_N[0],14.1879
m_N[1],-7.21619
m_N[2],-5.69703
m_N[3],0.484022
m_N[4],0.849198
m_N[5],-14.9239
m_N[6],0.364879
m_N[7],16.3799
m_N[8],-49.7067
m_N[9],0.521348
m_N[10],6.47909
m_N[11],23.7702

posterior_covariance
755.354,-138.188,0.298869,0.0840987,0.846337,-1.42967,-0.839379,-240,-147.328,-24.3154,0.0610393,-245.662
-138.188,482.105,-0.315571,-1.54851,-0.782198,-1.06438,0.862695,-135.049,-146.139,37.0654,0.769845,-136.597
0.298869,-0.315571,0.769531,0.389333,-0.088543,-0.621939,-0.0982372,0.332202,-1.5459,0.16534,0.162102,0.345359
0.0840987,-1.54851,0.389333,0.75057,-0.106981,-0.23206,-0.0196778,0.286756,-1.88307,2.32306,-0.111966,-0.047849
0.846337,-0.782198,-0.088543,-0.106981,0.35852,0.0598748,-0.0527741,0.615218,-1.99127,-0.193794,-0.000638814,0.776657
-1.42967,-1.06438,-0.621939,-0.23206,0.0598748,8.86931,0.0395973,-1.60338,-3.32338,3.52836,-0.851726,-0.515246
-0.839379,0.862695,-0.0982372,-0.0196778,-0.0527741,0.0395973,3.16257,-2.44016,0.0963533,0.0713295,0.0217231,-0.788408
-240,-135.049,0.332202,0.286756,0.615218,-1.60338,-2.44016,748.907,-146.585,-24.6173,-0.229122,-240.643
-147.328,-146.139,-1.5459,-1.88307,-1.99127,-3.32338,0.0963533,-146.585,819.479,-10.0974,-0.66031,-142.978
-24.3154,37.0654,0.16534,2.32306,-0.193794,3.52836,0.0713295,-24.6173,-10.0974,43.3927,-0.193614,-25.6149
0.0610393,0.769845,0.162102,-0.111966,-0.000638814,-0.851726,0.0217231,-0.229122,-0.66031,-0.193614,0.86003,-0.112738
-245.662,-136.597,0.345359,-0.047849,0.776657,-0.515246,-0.788408,-240.643,-142.978,-25.6149,-0.112738,752.221
