posterior_mean
m_N[0],-0.213385
m_N[1],10.6303
m_N[2],-25.2337
m_N[3],1.16891
m_N[4],14.1163
m_N[5],7.73132
m_N[6],-2.19068
m_N[7],-6.87259
m_N[8],-4.18165
m_N[9],5.11435

posterior_covariance
0.0156591,-0.211298,0.787015,-0.92926,-0.0397435,0.348228,0.227455,-0.0121491,-0.134267,-0.0555064
-0.211298,5.02712,-23.3243,33.3345,-3.80511,-13.5082,-5.73419,3.23252,5.5965,-0.481514
0.787015,-23.3243,124.462,-214.631,73.8494,80.0593,9.50002,-38.2178,-33.8523,20.8498
-0.92926,33.3345,-214.631,483.328,-345.792,-92.1771,65.592,101.787,43.5452,-73.9459
-0.0397435,-3.80511,73.8494,-345.792,582.056,-278.248,-104.741,13.8338,51.4454,12.448
0.348228,-13.5082,80.0593,-92.1771,-278.248,664.149,-279.605,-161.331,-24.2375,105.042
0.227455,-5.73419,9.50002,65.592,-104.741,-279.605,653.253,-290.689,-135.358,86.7523
-0.0121491,3.23252,-38.2178,101.787,13.8338,-161.331,-290.689,681.292,-239.94,-71.5516
-0.134267,5.5965,-33.8523,43.5452,51.4454,-24.2375,-135.358,-239.94,684.927,-352.83
-0.0555064,-0.481514,20.8498,-73.9459,12.448,105.042,86.7523,-71.5516,-352.83,275.881
